GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
2770258,160,27,,,,,,Wilder city,60,28,69,33,60,69
2770402,160,27,,,,,,Williams city,191,110,210,115,191,210
2770420,160,27,,,,,,Willmar city,19610,8123,18351,7789,19610,18351
2770492,160,27,,,,,,Willow River city,415,199,309,155,415,309
2770582,160,27,,,,,,Wilmont city,339,152,332,155,339,332
2770708,160,27,,,,,,Wilton city,204,87,186,80,204,186
2770798,160,27,,,,,,Windom city,4646,2171,4490,2089,4646,4490
2770870,160,27,,,,,,Winger city,220,109,205,105,220,205
2770924,160,27,,,,,,Winnebago city,1437,688,1487,705,1437,1487
2771032,160,27,,,,,,Winona city,27592,10989,27069,10666,27592,27069
2771086,160,27,,,,,,Winsted city,2355,1017,2094,847,2355,2094
2771122,160,27,,,,,,Winthrop city,1399,640,1367,632,1399,1367
2771140,160,27,,,,,,Winton city,172,110,185,97,172,185
2771338,160,27,,,,,,Wolf Lake city,57,35,31,22,57,31
2771428,160,27,,,,,,Woodbury city,61961,23568,46463,17541,61961,46463
2771446,160,27,,,,,,Wood Lake city,439,195,436,190,439,436
2771500,160,27,,,,,,Woodland city,437,189,480,188,437,480
2771680,160,27,,,,,,Woodstock city,124,70,132,72,124,132
2771734,160,27,,,,,,Worthington city,12764,4699,11283,4573,12764,11283
2771788,160,27,,,,,,Wrenshall city,399,160,308,120,399,308
2771824,160,27,,,,,,Wright city,127,62,93,44,127,93
2771950,160,27,,,,,,Wykoff city,444,217,460,216,444,460
2772184,160,27,,,,,,Zemple city,93,30,75,29,93,75
2772238,160,27,,,,,,Zimmerman city,5228,1944,2851,1018,5228,2851
2772310,160,27,,,,,,Zumbro Falls city,207,90,177,81,207,177
2772328,160,27,,,,,,Zumbrota city,3252,1437,2789,1191,3252,2789
2702152,160,27,,,,,,Arlington city,2233,1018,2048,859,2233,2048
2702260,160,27,,,,,,Arnold CDP,2960,1226,3032,1123,2960,3032
2704114,160,27,,,,,,Bayport city,3471,912,3162,789,3471,3162
2706076,160,27,,,,,,Bird Island city,1042,547,1195,530,1042,1195
2706112,160,27,,,,,,Biscay city,113,47,114,48,113,114
2706688,160,27,,,,,,Blue Earth city,3353,1638,3621,1666,3353,3621
2707300,160,27,,,,,,Brainerd city,13590,6390,13178,5847,13590,13178
2707966,160,27,,,,,,Brooklyn Park city,75781,27841,67388,24846,75781,67388
2708200,160,27,,,,,,Browns Valley city,589,288,690,317,589,690
2708254,160,27,,,,,,Brownton city,762,349,807,344,762,807
2709496,160,27,,,,,,Campbell city,158,104,241,110,158,241
2710252,160,27,,,,,,Cass Lake city,770,371,860,384,770,860
2710972,160,27,,,,,,Chaska city,23770,9290,17449,6235,23770,17449
2711566,160,27,,,,,,Claremont city,548,249,620,249,548,620
2717288,160,27,,,,,,Eagan city,64206,26414,63557,24390,64206,63557
2720834,160,27,,,,,,Felton city,177,93,216,97,177,216
2720906,160,27,,,,,,Fergus Falls city,13138,6342,13471,5909,13138,13471
2720978,160,27,,,,,,Fertile city,842,428,893,433,842,893
2722472,160,27,,,,,,Frazee city,1350,595,1377,553,1350,1377
2726576,160,27,,,,,,Hallock city,981,549,1196,586,981,1196
2728484,160,27,,,,,,Hendrum city,307,143,315,139,307,315
2733056,160,27,,,,,,Kiester city,501,281,540,278,501,540
2734172,160,27,,,,,,Lake City city,5063,2687,4950,2347,5063,4950
2734676,160,27,,,,,,Lake Lillian city,238,136,257,135,238,257
2736134,160,27,,,,,,Le Center city,2499,971,2240,877,2499,2240
2739338,160,27,,,,,,Magnolia city,222,84,221,87,222,221
2743864,160,27,,,,,,Moorhead city,38065,15274,32177,12180,38065,32177
2744548,160,27,,,,,,Mountain Iron city,2869,1442,2999,1409,2869,2999
2745052,160,27,,,,,,Naytahwaush CDP,578,178,583,173,578,583
